timestamp,block_index,demand_met_mw,net_demand_met_mw,solar_generation_mw,wind_generation_mw,hydro_generation_mw,thermal_generation_mw,total_generation_mw,frequency_hz,quality_flags,classification
2025-01-01T00:00:00+05:30,1,147488.0,137210.0,72.0,10206.0,7197.0,123916.0,152143.0,49.99,none,REAL/PUBLIC operational SCADA
2025-01-01T00:15:00+05:30,2,146686.0,136496.0,75.0,10115.0,6342.0,124132.0,151466.0,49.94,none,REAL/PUBLIC operational SCADA
2025-01-01T00:30:00+05:30,3,146198.0,135988.0,74.0,10136.0,6333.0,123870.0,151176.0,49.99,none,REAL/PUBLIC operational SCADA
2025-01-01T00:45:00+05:30,4,145519.0,135327.0,73.0,10119.0,6335.0,122979.0,150262.0,49.94,none,REAL/PUBLIC operational SCADA
2025-01-01T01:00:00+05:30,5,144696.0,134657.0,71.0,9968.0,6528.0,122084.0,149338.0,49.94,none,REAL/PUBLIC operational SCADA
2025-01-01T01:15:00+05:30,6,142983.0,133001.0,70.0,9912.0,6272.0,120595.0,147579.0,49.94,none,REAL/PUBLIC operational SCADA
2025-01-01T01:30:00+05:30,7,141960.0,131955.0,72.0,9933.0,6172.0,119604.0,146524.0,49.99,none,REAL/PUBLIC operational SCADA
2025-01-01T01:45:00+05:30,8,141408.0,131289.0,71.0,10048.0,5858.0,119119.0,145888.0,49.99,none,REAL/PUBLIC operational SCADA
2025-01-01T02:00:00+05:30,9,140248.0,130014.0,67.0,10167.0,5672.0,117945.0,144624.0,50.04,none,REAL/PUBLIC operational SCADA
2025-01-01T02:15:00+05:30,10,139553.0,129429.0,67.0,10057.0,5629.0,117433.0,144103.0,50.04,none,REAL/PUBLIC operational SCADA
2025-01-01T02:30:00+05:30,11,138892.0,129046.0,66.0,9780.0,5380.0,117214.0,143247.0,49.99,none,REAL/PUBLIC operational SCADA
2025-01-01T02:45:00+05:30,12,138327.0,128704.0,66.0,9557.0,5289.0,117046.0,142733.0,49.99,none,REAL/PUBLIC operational SCADA
2025-01-01T03:00:00+05:30,13,137744.0,128183.0,66.0,9495.0,5264.0,116381.0,142014.0,50.04,none,REAL/PUBLIC operational SCADA
2025-01-01T03:15:00+05:30,14,138126.0,128489.0,71.0,9566.0,5475.0,116484.0,142366.0,49.94,none,REAL/PUBLIC operational SCADA
2025-01-01T03:30:00+05:30,15,138032.0,128411.0,72.0,9549.0,5539.0,116731.0,142703.0,49.94,none,REAL/PUBLIC operational SCADA
2025-01-01T03:45:00+05:30,16,138264.0,128874.0,70.0,9320.0,5519.0,117156.0,142863.0,49.99,none,REAL/PUBLIC operational SCADA
