resource_id,event_timestamp,dataset_split,heater_type_heat_pump,rated_power_kw,tank_capacity_l,minimum_comfort_temp_c,maximum_temp_c,temperature_band_c,recovery_rate_c_per_hour,baseline_duty_cycle,event_hour,event_weekday,flex_direction_reduce,pre_dispatch_temp_c,pre_dispatch_power_kw,directional_temperature_margin_c,directional_temperature_margin_fraction,potential_kw,prior_event_count,prior_response_ratio_mean,prior_response_ratio_ema,prior_response_ratio_std,prior_delivered_kw_mean,prior_availability_rate,prior_override_rate,target_delivered_kw,target_response_ratio,target_is_available,target_has_override,target_outcome,target_hot_water_draw_l
wh-0001,2025-06-22T20:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,20.5,6,0,54.005,0.128774,3.728,0.495547,3.723766,0,,,,,,,0.166776,0.044787,0,0,unavailable,30.232
wh-0001,2025-06-28T21:00:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,21.0,5,1,54.933,2.825557,4.723,0.627808,2.825557,1,0.044787,0.044787,,0.166776,0.0,0.0,0.447176,0.158261,1,1,override,6.35
wh-0001,2025-07-04T19:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,19.75,4,1,50.977,3.710888,0.767,0.101954,3.710888,2,0.101524,0.084503,0.056737,0.306976,0.5,0.5,2.409145,0.64921,1,0,partial,15.434
wh-0001,2025-07-09T21:00:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,21.0,2,1,54.066,2.240753,3.856,0.512561,2.240753,3,0.284086,0.28215,0.262305,1.007699,0.666667,0.333333,1.513514,0.675449,1,0,partial,23.668
wh-0001,2025-07-17T07:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,7.5,3,1,55.948,2.884834,5.738,0.762728,2.884834,4,0.381927,0.419805,0.28341,1.134153,0.75,0.25,2.258526,0.782896,1,0,partial,12.23
wh-0001,2025-07-22T18:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.75,1,1,54.016,3.300618,3.806,0.505915,3.300618,5,0.462121,0.546887,0.299969,1.359027,0.8,0.2,0.211641,0.064122,1,1,override,27.743
wh-0001,2025-07-25T18:45:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,18.75,4,1,49.299,2.535405,0.0,0.0,2.535405,6,0.395787,0.377919,0.311424,1.167796,0.833333,0.333333,1.577281,0.622102,1,0,partial,17.98
wh-0001,2025-07-31T19:30:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,19.5,3,1,55.501,3.794512,5.291,0.70331,3.794512,7,0.428118,0.463383,0.299001,1.226294,0.857143,0.285714,0.499174,0.131551,1,1,override,13.866
wh-0001,2025-08-07T08:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,8.25,3,1,54.256,2.796416,4.046,0.537817,2.796416,8,0.391047,0.347242,0.296388,1.135404,0.875,0.375,0.049468,0.01769,1,1,override,15.736
wh-0001,2025-08-14T08:15:00+05:30,train,1,3.85254,158.654,50.21,57.733,7.523,4.96,0.297582,8.25,3,1,55.109,2.965032,4.899,0.651203,2.965032,9,0.349563,0.231899,0.303072,1.014745,0.888889,0.444444,2.445885,0.82491,1,0,delivered,12.065
