timestamp,station_id,station_name,latitude,longitude,elevation_m,temperature_c,dew_point_c,relative_humidity_pct,wind_direction_deg,wind_speed_m_s,wind_gust_m_s,qnh_pressure_hpa,visibility_km,weather_codes,quality_flags,raw_metar,classification
2025-01-01T00:00:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,20.0,15.0,72.92,360.0,1.543,,1017.0,2.993,HZ,none,VAAH 311830Z 36003KT 3000 HZ NSC 20/15 Q1017 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T00:30:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,19.0,15.0,77.6,20.0,2.572,,1017.0,2.993,HZ,none,VAAH 311900Z 02005KT 3000 HZ NSC 19/15 Q1017 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T01:00:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,18.0,14.0,77.45,30.0,3.087,,1016.0,2.993,HZ,none,VAAH 311930Z 03006KT 3000 HZ NSC 18/14 Q1016 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T01:30:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,18.0,15.0,82.62,20.0,3.601,,1016.0,2.993,HZ,none,VAAH 312000Z 02007KT 3000 HZ NSC 18/15 Q1016 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T02:00:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,14.0,82.5,30.0,3.601,,1016.0,2.993,HZ,none,VAAH 312030Z 03007KT 3000 HZ NSC 17/14 Q1016 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T02:30:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,14.0,82.5,30.0,3.087,,1016.0,2.993,HZ,none,VAAH 312100Z 03006KT 3000 HZ NSC 17/14 Q1016 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T03:00:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,14.0,82.5,20.0,3.601,,1016.0,2.993,HZ,none,VAAH 312130Z 02007KT 3000 HZ NSC 17/14 Q1016 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T03:30:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,14.0,82.5,30.0,3.601,,1015.0,2.993,HZ,none,VAAH 312200Z 03007KT 3000 HZ NSC 17/14 Q1015 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T04:00:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,14.0,82.5,40.0,3.601,,1015.0,2.993,HZ,none,VAAH 312230Z 04007KT 3000 HZ NSC 17/14 Q1015 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T04:30:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,13.0,77.29,30.0,3.087,,1015.0,2.993,HZ,none,VAAH 312300Z 03006KT 3000 HZ NSC 17/13 Q1015 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T05:00:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,17.0,13.0,77.29,30.0,4.116,,1015.0,2.993,HZ,none,VAAH 312330Z 03008KT 3000 HZ NSC 17/13 Q1015 NOSIG,REAL/PUBLIC station observation; units converted
2025-01-01T06:30:00+05:30,VAAH,Ahmedabad Airport,23.0772,72.6346,55.00,16.0,13.0,82.37,20.0,4.116,,1015.0,2.993,BR,none,VAAH 010100Z 02008KT 3000 BR NSC 16/13 Q1015 NOSIG,REAL/PUBLIC station observation; units converted
