station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,gust,wxcodes,metar
VAAH,2025-01-01 00:00,72.6346,23.0772,55.00,68.00,59.00,72.92,360.00,3.00,30.03,,1.86,,HZ,VAAH 311830Z 36003KT 3000 HZ NSC 20/15 Q1017 NOSIG
VAAH,2025-01-01 00:30,72.6346,23.0772,55.00,66.20,59.00,77.60,20.00,5.00,30.03,,1.86,,HZ,VAAH 311900Z 02005KT 3000 HZ NSC 19/15 Q1017 NOSIG
VAAH,2025-01-01 01:00,72.6346,23.0772,55.00,64.40,57.20,77.45,30.00,6.00,30.00,,1.86,,HZ,VAAH 311930Z 03006KT 3000 HZ NSC 18/14 Q1016 NOSIG
VAAH,2025-01-01 01:30,72.6346,23.0772,55.00,64.40,59.00,82.62,20.00,7.00,30.00,,1.86,,HZ,VAAH 312000Z 02007KT 3000 HZ NSC 18/15 Q1016 NOSIG
VAAH,2025-01-01 02:00,72.6346,23.0772,55.00,62.60,57.20,82.50,30.00,7.00,30.00,,1.86,,HZ,VAAH 312030Z 03007KT 3000 HZ NSC 17/14 Q1016 NOSIG
VAAH,2025-01-01 02:30,72.6346,23.0772,55.00,62.60,57.20,82.50,30.00,6.00,30.00,,1.86,,HZ,VAAH 312100Z 03006KT 3000 HZ NSC 17/14 Q1016 NOSIG
VAAH,2025-01-01 03:00,72.6346,23.0772,55.00,62.60,57.20,82.50,20.00,7.00,30.00,,1.86,,HZ,VAAH 312130Z 02007KT 3000 HZ NSC 17/14 Q1016 NOSIG
VAAH,2025-01-01 03:30,72.6346,23.0772,55.00,62.60,57.20,82.50,30.00,7.00,29.97,,1.86,,HZ,VAAH 312200Z 03007KT 3000 HZ NSC 17/14 Q1015 NOSIG
VAAH,2025-01-01 04:00,72.6346,23.0772,55.00,62.60,57.20,82.50,40.00,7.00,29.97,,1.86,,HZ,VAAH 312230Z 04007KT 3000 HZ NSC 17/14 Q1015 NOSIG
VAAH,2025-01-01 04:30,72.6346,23.0772,55.00,62.60,55.40,77.29,30.00,6.00,29.97,,1.86,,HZ,VAAH 312300Z 03006KT 3000 HZ NSC 17/13 Q1015 NOSIG
VAAH,2025-01-01 05:00,72.6346,23.0772,55.00,62.60,55.40,77.29,30.00,8.00,29.97,,1.86,,HZ,VAAH 312330Z 03008KT 3000 HZ NSC 17/13 Q1015 NOSIG
VAAH,2025-01-01 06:30,72.6346,23.0772,55.00,60.80,55.40,82.37,20.00,8.00,29.97,,1.86,,BR,VAAH 010100Z 02008KT 3000 BR NSC 16/13 Q1015 NOSIG
VAAH,2025-01-01 07:00,72.6346,23.0772,55.00,60.80,55.40,82.37,30.00,10.00,29.97,,1.86,,BR,VAAH 010130Z 03010KT 3000 BR NSC 16/13 Q1015 BECMG 2000
VAAH,2025-01-01 07:30,72.6346,23.0772,55.00,60.80,55.40,82.37,30.00,8.00,30.00,,0.93,,BR,VAAH 010200Z 03008KT 1500 BR NSC 16/13 Q1016 NOSIG
VAAH,2025-01-01 08:00,72.6346,23.0772,55.00,60.80,55.40,82.37,20.00,8.00,30.03,,0.93,,BR,VAAH 010230Z 02008KT 1500 R23/2000 R05/2000 BR NSC 16/13 Q1017 NOSIG
VAAH,2025-01-01 08:30,72.6346,23.0772,55.00,60.80,53.60,77.14,30.00,8.00,30.03,,0.93,,BR,VAAH 010300Z 03008KT 1500 R23/2000 R05/2000 BR NSC 16/12 Q1017 NOSIG
VAAH,2025-01-01 09:00,72.6346,23.0772,55.00,62.60,53.60,72.38,20.00,8.00,30.03,,0.93,,BR,VAAH 010330Z 02008KT 1500 R23/2000 R05/2000 BR NSC 17/12 Q1017 NOSIG
VAAH,2025-01-01 09:30,72.6346,23.0772,55.00,64.40,53.60,67.95,20.00,7.00,30.06,,0.93,,BR,VAAH 010400Z 02007KT 1500 R23/2000 R05/2000 BR NSC 18/12 Q1018 NOSIG
VAAH,2025-01-01 10:00,72.6346,23.0772,55.00,64.40,55.40,72.56,10.00,8.00,30.06,,0.93,,BR,VAAH 010430Z 01008KT 1500 R23/2000 R05/2000 BR NSC 18/13 Q1018 NOSIG
VAAH,2025-01-01 10:30,72.6346,23.0772,55.00,68.00,55.40,64.04,20.00,7.00,30.06,,0.93,,BR,VAAH 010500Z 02007KT 1500 R23/2000 R05/2000 BR NSC 20/13 Q1018 NOSIG
VAAH,2025-01-01 11:00,72.6346,23.0772,55.00,69.80,57.20,64.26,30.00,7.00,30.06,,0.93,,HZ,VAAH 010530Z 03007KT 1500 R23/2000 R05/2000 HZ NSC 21/14 Q1018 NOSIG
VAAH,2025-01-01 11:30,72.6346,23.0772,55.00,71.60,57.20,60.44,40.00,7.00,30.03,,0.93,,HZ,VAAH 010600Z 04007KT 1500 R23/2000 R05/2000 HZ NSC 22/14 Q1017 BECMG 2000
VAAH,2025-01-01 12:00,72.6346,23.0772,55.00,73.40,59.00,60.67,20.00,9.00,30.03,,1.24,,HZ,VAAH 010630Z 02009KT 2000 HZ NSC 23/15 Q1017 NOSIG
VAAH,2025-01-01 12:30,72.6346,23.0772,55.00,75.20,59.00,57.12,40.00,8.00,30.00,,1.24,,HZ,VAAH 010700Z 04008KT 2000 HZ NSC 24/15 Q1016 NOSIG
