id,type,location_id,rated_power_kw,earliest_start,latest_end,required_kwh,minimum_kwh,maximum_kwh,minimum_duration,maximum_duration,deadline,min_power,max_power,override_rate,availability_rate,state,battery_capacity_kwh,arrival_soc_pct,target_soc_pct,dataset_split,acn_source_session
ev_0001,ev,simulation_feeder_01,3.47,2026-01-15T19:30:00+05:30,2026-01-15T23:47:13+05:30,12.635,10.108,14.876,15,257,2026-01-15T23:47:13+05:30,1.4,3.47,0.1493,0.9596,available,52.84,36.0,59.9,train,time series data/caltech/LIGO_01/2-154-492-3391-2020-05-06T14-00-12-110505.csv.gz
ev_0002,ev,simulation_feeder_02,6.76,2026-01-15T14:30:00+05:30,2026-01-15T20:24:47+05:30,13.209,10.567,39.972,15,354,2026-01-15T20:24:47+05:30,1.4,6.76,0.2196,0.8765,available,42.76,48.9,79.8,train,time series data/caltech/California_Garage_01/2-39-78-360-2018-09-06T09-03-41-321274.csv.gz
ev_0003,ev,simulation_feeder_03,8.43,2026-01-15T05:15:00+05:30,2026-01-15T09:53:47+05:30,26.645,21.316,39.169,15,278,2026-01-15T09:53:47+05:30,1.4,8.43,0.2189,0.9684,available,96.56,30.2,57.8,train,time series data/caltech/California_Garage_02/2-6-3-1369-2019-11-03T23-56-04-649262.csv.gz
ev_0004,ev,simulation_feeder_04,10.07,2026-01-15T22:15:00+05:30,2026-01-16T06:52:47+05:30,38.729,30.983,64.09,15,517,2026-01-16T06:52:47+05:30,1.4,10.07,0.0554,0.9672,available,64.09,18.0,78.4,train,time series data/caltech/N_Wilson_Garage_01/2-137-440-3989-2020-07-15T16-48-20-405716.csv.gz
ev_0005,ev,simulation_feeder_05,6.4,2026-01-15T22:45:00+05:30,2026-01-16T07:57:25+05:30,11.993,9.594,58.924,15,552,2026-01-16T07:57:25+05:30,1.4,6.4,0.1536,0.9284,available,64.09,44.0,62.7,train,time series data/caltech/California_Garage_01/2-39-90-26-2019-04-09T17-18-20-352731.csv.gz
ev_0006,ev,simulation_feeder_06,22.0,2026-01-15T01:00:00+05:30,2026-01-15T01:24:21.794778+05:30,8.933,7.146,8.933,15,24,2026-01-15T01:24:21.794778+05:30,1.4,22.0,0.1985,0.8954,available,66.56,68.6,82.0,train,time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-06-08T19-43-43-260067.csv.gz
ev_0007,ev,simulation_feeder_07,3.54,2026-01-15T20:15:00+05:30,2026-01-16T05:28:16+05:30,5.688,4.55,32.643,15,553,2026-01-16T05:28:16+05:30,1.4,3.54,0.1605,0.8731,available,70.97,80.9,88.9,train,time series data/caltech/California_Garage_01/2-39-79-378-2019-04-16T14-59-22-368160.csv.gz
ev_0008,ev,simulation_feeder_08,2.33,2026-01-15T11:00:00+05:30,2026-01-15T12:12:54+05:30,2.402,1.922,2.831,15,72,2026-01-15T12:12:54+05:30,1.4,2.33,0.1027,0.881,available,36.83,49.7,56.2,train,time series data/caltech/California_Garage_01/2-39-139-28-2018-08-31T05-31-44-709315.csv.gz
ev_0009,ev,simulation_feeder_09,3.1,2026-01-15T21:15:00+05:30,2026-01-16T07:19:10+05:30,5.338,4.27,31.215,15,604,2026-01-16T07:19:10+05:30,1.4,3.1,0.0815,0.9555,available,78.58,51.3,58.1,train,time series data/caltech/California_Garage_02/2-6-3-1365-2019-08-16T15-48-32-758109.csv.gz
ev_0010,ev,simulation_feeder_10,1.79,2026-01-15T00:45:00+05:30,2026-01-15T01:22:20+05:30,0.892,0.714,1.114,15,37,2026-01-15T01:22:20+05:30,1.4,1.79,0.1332,0.9449,available,65.57,60.8,62.2,train,time series data/caltech/California_Garage_01/2-39-78-367-2019-10-07T19-20-07-648674.csv.gz
