source_session_path,site,garage,connection_time,disconnect_time,energy_delivered_kwh,maximum_observed_power_kw,maximum_pilot_a,source_compressed_bytes,resource_id
time series data/caltech/LIGO_01/2-154-492-3391-2020-05-06T14-00-12-110505.csv.gz,caltech,LIGO_01,2020-05-06T14:00:35+00:00,2020-05-06T18:17:48+00:00,12.63544,3.466,32.0,41140,ev_0001
time series data/caltech/California_Garage_01/2-39-78-360-2018-09-06T09-03-41-321274.csv.gz,caltech,California_Garage_01,2018-09-06T09:03:41+00:00,2018-09-06T14:58:28+00:00,13.20868,6.76042,,35727,ev_0002
time series data/caltech/California_Garage_02/2-6-3-1369-2019-11-03T23-56-04-649262.csv.gz,caltech,California_Garage_02,2019-11-03T23:56:05+00:00,2019-11-04T04:34:52+00:00,26.64453,8.43211,0.0,43874,ev_0003
time series data/caltech/N_Wilson_Garage_01/2-137-440-3989-2020-07-15T16-48-20-405716.csv.gz,caltech,N_Wilson_Garage_01,2020-07-15T16:48:20+00:00,2020-07-16T01:26:07+00:00,38.72933,10.06848,48.0,21690,ev_0004
time series data/caltech/California_Garage_01/2-39-90-26-2019-04-09T17-18-20-352731.csv.gz,caltech,California_Garage_01,2019-04-09T17:18:20+00:00,2019-04-10T02:30:45+00:00,11.99304,6.397,32.0,56193,ev_0005
time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-06-08T19-43-43-260067.csv.gz,caltech,N_Wilson_Garage_01,2020-06-08T19:43:43.260067+00:00,2020-06-08T20:08:05.054845+00:00,11.999,47.1275,125.0,2601,ev_0006
time series data/caltech/California_Garage_01/2-39-79-378-2019-04-16T14-59-22-368160.csv.gz,caltech,California_Garage_01,2019-04-16T14:59:22+00:00,2019-04-17T00:12:38+00:00,5.68765,3.535,32.0,62042,ev_0007
time series data/caltech/California_Garage_01/2-39-139-28-2018-08-31T05-31-44-709315.csv.gz,caltech,California_Garage_01,2018-08-31T05:31:48+00:00,2018-08-31T06:44:42+00:00,2.40217,2.334,,12711,ev_0008
time series data/caltech/California_Garage_02/2-6-3-1365-2019-08-16T15-48-32-758109.csv.gz,caltech,California_Garage_02,2019-08-16T15:48:34+00:00,2019-08-17T01:52:44+00:00,5.33796,3.09691,0.0,54557,ev_0009
time series data/caltech/California_Garage_01/2-39-78-367-2019-10-07T19-20-07-648674.csv.gz,caltech,California_Garage_01,2019-10-07T19:20:09+00:00,2019-10-07T19:57:29+00:00,0.89198,1.78922,0.0,6774,ev_0010
time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-08-15T14-21-42-065007.csv.gz,caltech,N_Wilson_Garage_01,2020-08-15T14:21:42.065007+00:00,2020-08-15T14:33:02.977998+00:00,5.523,39.3194,125.0,1215,ev_0011
time series data/caltech/California_Garage_01/2-39-78-366-2018-10-11T02-25-46-510829.csv.gz,caltech,California_Garage_01,2018-10-11T02:25:47+00:00,2018-10-11T15:48:04+00:00,30.42321,7.03498,,81818,ev_0012
time series data/caltech/California_Garage_01/2-39-78-361-2019-11-11T17-10-00-690878.csv.gz,caltech,California_Garage_01,2019-11-11T17:10:01+00:00,2019-11-11T22:30:48+00:00,0.88109,1.71808,0.0,28167,ev_0013
time series data/caltech/California_Garage_02/2-6-3-1363-2019-06-19T13-55-44-629093.csv.gz,caltech,California_Garage_02,2019-06-19T13:55:50+00:00,2019-06-19T20:04:40+00:00,12.33672,6.41514,0.0,25841,ev_0014
time series data/caltech/California_Garage_02/2-6-3-1364-2018-12-04T15-06-42-153956.csv.gz,caltech,California_Garage_02,2018-12-04T15:06:42+00:00,2018-12-05T01:12:14+00:00,14.14904,3.38312,0.0,59245,ev_0015
time series data/caltech/California_Garage_01/2-39-95-444-2018-08-10T15-01-17-144729.csv.gz,caltech,California_Garage_01,2018-08-10T15:01:17+00:00,2018-08-10T23:36:52+00:00,6.55093,7.112,,31808,ev_0016
time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-06-20T01-51-56-754893.csv.gz,caltech,N_Wilson_Garage_01,2020-06-20T01:51:56.754893+00:00,2020-06-20T02:25:29.443256+00:00,16.535,40.426,125.0,3388,ev_0017
time series data/caltech/California_Garage_01/2-39-128-18-2018-07-11T22-57-32-041861.csv.gz,caltech,California_Garage_01,2018-07-11T22:57:32+00:00,2018-07-12T04:57:31+00:00,10.74758,6.57,,33839,ev_0018
time series data/caltech/California_Garage_01/2-39-128-18-2020-01-28T19-40-17-018191.csv.gz,caltech,California_Garage_01,2020-01-28T19:40:20+00:00,2020-01-28T19:54:59+00:00,0.38907,1.659,9.0,2830,ev_0019
time series data/caltech/California_Garage_02/2-6-3-1360-2019-09-09T15-32-07-139103.csv.gz,caltech,California_Garage_02,2019-09-09T15:32:10+00:00,2019-09-10T00:19:35+00:00,2.1489,6.05072,0.0,41303,ev_0020
time series data/caltech/California_Garage_02/2-6-3-1629-2019-08-16T07-33-55-588718.csv.gz,caltech,California_Garage_02,2019-08-16T07:33:58+00:00,2019-08-16T14:16:42+00:00,26.65612,11.18202,80.0,57012,ev_0021
time series data/jpl/Arroyo_Garage_01/1-1-194-822-2020-10-19T14-43-27-948048.csv.gz,jpl,Arroyo_Garage_01,2020-10-19T14:43:48+00:00,2020-10-19T19:06:54+00:00,5.98711,3.19,16.0,41220,ev_0022
time series data/jpl/Arroyo_Garage_01/1-1-191-782-2020-08-27T18-15-58-217971.csv.gz,jpl,Arroyo_Garage_01,2020-08-27T18:16:01+00:00,2020-08-27T22:49:46+00:00,15.03266,6.144,32.0,42675,ev_0023
time series data/office_01/Parking_Lot_01/19-102-260-1640-2020-09-01T23-12-59-216951.csv.gz,office_01,Parking_Lot_01,2020-09-01T23:13:31+00:00,2020-09-03T17:57:55+00:00,44.05414,6.603,32.0,244657,ev_0024
time series data/caltech/California_Garage_01/2-39-90-440-2018-09-26T15-57-47-553856.csv.gz,caltech,California_Garage_01,2018-09-26T15:57:51+00:00,2018-09-26T21:57:35+00:00,13.88175,6.116,,38253,ev_0025
time series data/office_01/Parking_Lot_01/19-102-260-1635-2019-11-04T20-20-42-588226.csv.gz,office_01,Parking_Lot_01,2019-11-04T20:20:46+00:00,2019-11-05T00:07:41+00:00,0.868,6.643,32.0,16380,ev_0026
time series data/caltech/N_Wilson_Garage_01/2-137-521-3845-2020-08-30T12-14-05-751509.csv.gz,caltech,N_Wilson_Garage_01,2020-08-30T12:14:05.751509+00:00,2020-08-30T12:14:06.517054+00:00,3.805,38.5407,125.0,688,ev_0027
time series data/caltech/California_Garage_02/2-6-3-1632-2020-03-29T19-02-13-561059.csv.gz,caltech,California_Garage_02,2020-03-29T19:02:35+00:00,2020-03-29T19:38:10+00:00,4.09076,7.2372,80.0,9315,ev_0028
time series data/caltech/California_Garage_01/2-39-139-28-2020-03-04T15-19-12-758016.csv.gz,caltech,California_Garage_01,2020-03-04T15:19:16+00:00,2020-03-05T01:04:24+00:00,10.44103,6.883,32.0,50716,ev_0029
time series data/caltech/California_Garage_01/2-39-127-19-2018-06-06T15-34-47-862149.csv.gz,caltech,California_Garage_01,2018-06-06T15:34:51+00:00,2018-06-07T00:30:48+00:00,4.12709,3.584,,36996,ev_0030
time series data/jpl/Arroyo_Garage_01/1-1-179-799-2020-10-07T13-10-30-444817.csv.gz,jpl,Arroyo_Garage_01,2020-10-07T13:10:30+00:00,2020-10-07T16:56:39+00:00,23.33196,6.454,32.0,42916,ev_0031
time series data/caltech/California_Garage_01/2-39-79-378-2018-08-30T02-52-55-068483.csv.gz,caltech,California_Garage_01,2018-08-30T02:52:55+00:00,2018-08-30T04:41:07+00:00,7.65357,6.296,,16258,ev_0032
time series data/caltech/California_Garage_02/2-6-3-1629-2019-10-03T15-09-08-011204.csv.gz,caltech,California_Garage_02,2019-10-03T15:09:11+00:00,2019-10-04T02:05:48+00:00,10.73847,17.31595,80.0,58031,ev_0033
time series data/caltech/California_Garage_02/2-6-3-1360-2019-09-22T09-25-17-582063.csv.gz,caltech,California_Garage_02,2019-09-22T09:25:18+00:00,2019-09-22T17:09:20+00:00,12.12061,6.46714,0.0,54676,ev_0034
time series data/caltech/California_Garage_02/2-6-3-1367-2019-06-03T15-47-20-195229.csv.gz,caltech,California_Garage_02,2019-06-03T15:47:29+00:00,2019-06-03T23:51:38+00:00,5.71541,3.34422,0.0,24298,ev_0035
