resource_id,timestamp,flex_direction,requested_state,pre_dispatch_temp_c,pre_dispatch_power_kw,hot_water_draw_l,potential_kw,delivered_kw,response_ratio,is_available,has_override,outcome,dataset_split,data_classification
wh-0001,2025-06-22T20:30:00+05:30,increase,load_up,54.005,0.128774,30.232,3.723766,0.166776,0.044787,false,false,unavailable,train,SYNTHETIC
wh-0001,2025-06-28T21:00:00+05:30,reduce,shed,54.933,2.825557,6.35,2.825557,0.447176,0.158261,true,true,override,train,SYNTHETIC
wh-0001,2025-07-04T19:45:00+05:30,reduce,shed,50.977,3.710888,15.434,3.710888,2.409145,0.64921,true,false,partial,train,SYNTHETIC
wh-0001,2025-07-09T21:00:00+05:30,reduce,shed,54.066,2.240753,23.668,2.240753,1.513514,0.675449,true,false,partial,train,SYNTHETIC
wh-0001,2025-07-17T07:30:00+05:30,reduce,shed,55.948,2.884834,12.23,2.884834,2.258526,0.782896,true,false,partial,train,SYNTHETIC
wh-0001,2025-07-22T18:45:00+05:30,reduce,shed,54.016,3.300618,27.743,3.300618,0.211641,0.064122,true,true,override,train,SYNTHETIC
wh-0001,2025-07-25T18:45:00+05:30,reduce,shed,49.299,2.535405,17.98,2.535405,1.577281,0.622102,true,false,partial,train,SYNTHETIC
wh-0001,2025-07-31T19:30:00+05:30,reduce,shed,55.501,3.794512,13.866,3.794512,0.499174,0.131551,true,true,override,train,SYNTHETIC
wh-0001,2025-08-07T08:15:00+05:30,reduce,shed,54.256,2.796416,15.736,2.796416,0.049468,0.01769,true,true,override,train,SYNTHETIC
wh-0001,2025-08-14T08:15:00+05:30,reduce,shed,55.109,2.965032,12.065,2.965032,2.445885,0.82491,true,false,delivered,train,SYNTHETIC
wh-0001,2025-08-20T18:45:00+05:30,reduce,shed,56.027,3.105975,34.471,3.105975,2.782308,0.895792,true,false,delivered,train,SYNTHETIC
wh-0001,2025-08-28T18:15:00+05:30,reduce,shed,53.992,2.799064,22.007,2.799064,2.160594,0.771899,true,false,partial,train,SYNTHETIC
