id,heater_type,rated_power_kw,tank_capacity_l,minimum_comfort_temp_c,maximum_temp_c,recovery_rate_c_per_hour,baseline_duty_cycle,dataset_split,data_classification
wh-0001,heat_pump,3.85254,158.654,50.21,57.733,4.96,0.297582,train,SYNTHETIC
wh-0002,heat_pump,4.431291,160.82,49.244,57.267,4.567,0.367478,train,SYNTHETIC
wh-0003,heat_pump,3.977923,278.874,48.305,60.92,5.239,0.266012,train,SYNTHETIC
wh-0004,heat_pump,3.976304,213.967,49.695,60.284,5.504,0.356079,train,SYNTHETIC
wh-0005,heat_pump,4.157222,248.579,48.135,58.344,6.522,0.271557,train,SYNTHETIC
wh-0006,electric_resistance,4.228389,236.703,49.918,59.452,8.421,0.282621,train,SYNTHETIC
wh-0007,heat_pump,4.494165,236.904,49.397,60.619,4.428,0.204497,train,SYNTHETIC
wh-0008,electric_resistance,5.447844,223.544,50.339,58.906,8.788,0.264759,train,SYNTHETIC
wh-0009,electric_resistance,5.201234,250.786,48.823,57.607,7.303,0.241197,train,SYNTHETIC
wh-0010,heat_pump,4.358694,295.05,49.557,57.039,4.761,0.250814,train,SYNTHETIC
wh-0011,heat_pump,3.835345,278.739,49.206,58.333,5.688,0.323107,train,SYNTHETIC
wh-0012,electric_resistance,4.8042,294.261,48.419,59.308,11.97,0.144678,train,SYNTHETIC
wh-0013,heat_pump,4.021535,196.962,50.524,58.928,6.411,0.270303,train,SYNTHETIC
wh-0014,heat_pump,4.618904,156.66,49.0,60.832,4.098,0.324216,train,SYNTHETIC
wh-0015,electric_resistance,5.231247,249.098,48.917,59.097,10.543,0.136121,train,SYNTHETIC
wh-0016,electric_resistance,5.144576,150.305,48.908,59.439,8.688,0.257158,train,SYNTHETIC
wh-0017,heat_pump,3.827188,166.534,49.223,57.89,4.696,0.212519,train,SYNTHETIC
wh-0018,heat_pump,4.820194,211.601,50.039,57.052,5.585,0.18771,train,SYNTHETIC
wh-0019,heat_pump,4.745886,239.294,50.17,57.122,6.483,0.315769,train,SYNTHETIC
wh-0020,heat_pump,4.332408,249.453,50.261,57.753,5.531,0.218352,train,SYNTHETIC
wh-0021,heat_pump,4.349135,237.371,50.251,58.337,4.871,0.358566,train,SYNTHETIC
wh-0022,heat_pump,4.553665,278.497,49.13,58.948,4.528,0.30617,train,SYNTHETIC
wh-0023,heat_pump,4.512242,156.808,49.943,59.973,6.138,0.212695,train,SYNTHETIC
wh-0024,heat_pump,4.205591,238.113,48.771,58.862,6.747,0.203027,train,SYNTHETIC
wh-0025,electric_resistance,5.040561,232.959,50.975,57.672,11.156,0.20305,train,SYNTHETIC
wh-0026,heat_pump,3.981228,215.817,48.767,59.771,4.237,0.242924,train,SYNTHETIC
wh-0027,heat_pump,4.784969,193.865,48.725,57.873,6.431,0.183444,train,SYNTHETIC
wh-0028,heat_pump,4.902946,198.538,49.09,58.592,5.22,0.29682,train,SYNTHETIC
wh-0029,electric_resistance,4.947146,241.629,48.04,57.025,7.098,0.212754,train,SYNTHETIC
wh-0030,heat_pump,4.564807,193.916,50.916,59.989,5.661,0.201121,train,SYNTHETIC
wh-0031,heat_pump,4.261176,150.988,48.008,59.599,5.617,0.235875,train,SYNTHETIC
wh-0032,heat_pump,4.854181,259.366,48.707,57.655,5.972,0.301612,train,SYNTHETIC
wh-0033,electric_resistance,4.499061,250.893,49.172,60.483,7.991,0.210354,train,SYNTHETIC
wh-0034,electric_resistance,5.359714,268.979,49.875,58.623,8.308,0.261978,train,SYNTHETIC
wh-0035,heat_pump,3.979798,153.535,49.694,59.753,6.313,0.314678,train,SYNTHETIC
wh-0036,heat_pump,3.882347,229.299,49.114,57.45,6.939,0.235724,train,SYNTHETIC
wh-0037,electric_resistance,4.233503,192.233,49.4,57.449,11.259,0.155148,train,SYNTHETIC
wh-0038,electric_resistance,4.580962,154.733,48.341,59.441,9.404,0.254219,train,SYNTHETIC
wh-0039,electric_resistance,5.393771,265.567,50.622,60.679,9.473,0.272042,train,SYNTHETIC
wh-0040,electric_resistance,4.625755,281.568,49.582,60.236,8.004,0.235182,train,SYNTHETIC
wh-0041,electric_resistance,5.268506,256.385,49.64,58.658,10.348,0.225455,train,SYNTHETIC
wh-0042,heat_pump,4.783382,263.096,50.758,59.93,5.723,0.348609,train,SYNTHETIC
wh-0043,heat_pump,4.696191,251.116,49.827,60.108,6.024,0.22324,train,SYNTHETIC
wh-0044,heat_pump,4.099168,168.98,48.892,58.101,4.595,0.273479,train,SYNTHETIC
wh-0045,heat_pump,4.864824,276.766,48.916,60.027,4.905,0.314998,train,SYNTHETIC
wh-0046,electric_resistance,4.848517,183.023,48.917,57.424,11.174,0.220126,train,SYNTHETIC
wh-0047,heat_pump,4.169675,258.642,49.349,60.065,5.167,0.221665,train,SYNTHETIC
wh-0048,electric_resistance,5.312259,223.145,49.703,58.138,7.735,0.131357,train,SYNTHETIC
wh-0049,heat_pump,4.202877,153.285,49.553,57.007,4.385,0.197042,train,SYNTHETIC
wh-0050,heat_pump,4.61239,180.097,49.18,60.055,6.193,0.237465,train,SYNTHETIC
wh-0051,heat_pump,4.611762,235.613,49.961,58.603,5.071,0.207723,train,SYNTHETIC
wh-0052,heat_pump,4.048168,208.921,48.445,60.312,4.282,0.315216,train,SYNTHETIC
wh-0053,electric_resistance,4.026946,295.659,48.647,60.816,8.002,0.188501,train,SYNTHETIC
wh-0054,heat_pump,4.713731,225.373,50.587,58.509,6.526,0.372894,train,SYNTHETIC
wh-0055,electric_resistance,4.366707,161.926,48.793,60.641,9.928,0.181182,train,SYNTHETIC
wh-0056,heat_pump,3.889418,243.669,50.129,58.655,4.122,0.226211,train,SYNTHETIC
wh-0057,heat_pump,4.054766,263.562,50.978,57.785,6.161,0.246822,train,SYNTHETIC
wh-0058,heat_pump,4.005545,152.574,49.355,58.555,6.764,0.250801,train,SYNTHETIC
wh-0059,electric_resistance,5.197322,294.424,50.748,59.281,11.241,0.275971,train,SYNTHETIC
wh-0060,heat_pump,3.805412,182.86,50.75,60.771,4.584,0.335119,train,SYNTHETIC
wh-0061,heat_pump,4.599225,179.944,48.839,58.898,4.479,0.250828,train,SYNTHETIC
wh-0062,heat_pump,4.451681,153.007,49.223,57.684,5.169,0.325545,train,SYNTHETIC
wh-0063,electric_resistance,5.030273,195.182,49.541,58.425,11.003,0.228859,train,SYNTHETIC
wh-0064,heat_pump,3.855072,232.989,50.883,58.571,6.334,0.245462,train,SYNTHETIC
